Feature,Rank,Selected
StdDev,1,True
Skewness,1,True
Median,1,True
Variance,1,True
FFT,1,True
Entropy,1,True
Max,1,True
LBP,2,False
Mean,3,False
Kurtosis,4,False
RMS,5,False
Power,6,False
Energy,7,False
Min,8,False
