Classifier,DS0,DS1,DS2,DS3
Logistic Regression,0.6395,0.5152,0.6669,0.5377
Random Forest,0.6050,0.6417,0.9053,0.6447
AdaBoost,0.5698,0.6056,0.6584,0.3986
K-Nearest Neighbor,0.5401,0.5527,0.6076,0.5813
Decision Tree,0.6714,0.5948,0.8703,0.6225
Naive Bayes,0.2990,0.4205,0.4148,0.4189
Support Vector Machine,0.1990,0.3400,0.5219,0.3741
XGBoost,0.6245,0.5447,0.9104,0.6582
Gradient Boosting,0.5467,0.5714,0.8547,0.6169
