Classifier,DS0,DS1,DS2,DS3
Logistic Regression,0.6813,0.6104,0.7070,0.5375
Random Forest,0.6969,0.6833,0.9654,0.7198
AdaBoost,0.7042,0.6698,0.7868,0.6292
K-Nearest Neighbor,0.5729,0.6125,0.6605,0.6295
Decision Tree,0.6542,0.6250,0.8707,0.6211
Naive Bayes,0.5896,0.5417,0.6603,0.5703
Support Vector Machine,0.5229,0.5687,0.6484,0.5370
XGBoost,0.6896,0.5604,0.9693,0.7462
Gradient Boosting,0.6500,0.7052,0.9373,0.7612
