Classifier,DS0,DS1,DS2,DS3
Logistic Regression,1546.01,1554.75,1556.90,1578.66
Random Forest,1546.69,1554.86,1561.23,1580.32
AdaBoost,1546.72,1554.87,1556.59,1580.32
K-Nearest Neighbor,1546.86,1554.91,1556.69,1580.35
Decision Tree,1546.88,1554.91,1556.84,1580.35
Naive Bayes,1546.89,1554.92,1557.25,1580.36
Support Vector Machine,1547.05,1554.92,1578.04,1581.46
XGBoost,1554.90,1555.89,1578.63,1580.99
Gradient Boosting,1554.75,1555.68,1578.65,1579.77
